Issue;Title;Sistema;Status_Anterior;Status_Novo;Pos_Original_XY;Pos_Nova_XY;Deslocamento_m;Acao
INT-01;INT-01 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;165.0,245.0;165.5,245.0;0.5;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-02;INT-02 Sprinkler x Column (Incendio);Incendio;Active;Resolved;160.0,240.0;159.769,240.096;0.25;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-03;INT-03 Sprinkler x Column (Incendio);Incendio;Active;Resolved;160.0,250.0;160.096,250.231;0.25;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-04;INT-04 Sprinkler x Column (Incendio);Incendio;Active;Resolved;170.0,240.0;170.25,240.0;0.25;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-05;INT-05 Sprinkler x Column (Incendio);Incendio;Active;Resolved;170.0,250.0;170.25,250.0;0.25;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-06;INT-06 Sprinkler x Column (Incendio);Incendio;Active;Resolved;150.0,230.0;149.815,230.077;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-07;INT-07 Sprinkler x Column (Incendio);Incendio;Active;Resolved;150.0,240.0;149.815,240.077;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-08;INT-08 Sprinkler x Column (Incendio);Incendio;Active;Resolved;150.0,250.0;149.815,250.077;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-09;INT-09 Sprinkler x Column (Incendio);Incendio;Active;Resolved;150.0,260.0;150.077,260.185;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-10;INT-10 Sprinkler x Column (Incendio);Incendio;Active;Resolved;160.0,230.0;159.923,229.815;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-11;INT-11 Sprinkler x Column (Incendio);Incendio;Active;Resolved;160.0,260.0;160.077,260.185;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-12;INT-12 Sprinkler x Column (Incendio);Incendio;Active;Resolved;170.0,230.0;169.923,229.815;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-13;INT-13 Sprinkler x Column (Incendio);Incendio;Active;Resolved;170.0,260.0;170.077,260.185;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-14;INT-14 Sprinkler x Column (Incendio);Incendio;Active;Resolved;180.0,230.0;180.2,230.0;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-15;INT-15 Sprinkler x Column (Incendio);Incendio;Active;Resolved;180.0,240.0;180.2,240.0;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-16;INT-16 Sprinkler x Column (Incendio);Incendio;Active;Resolved;180.0,250.0;180.2,250.0;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-17;INT-17 Sprinkler x Column (Incendio);Incendio;Active;Resolved;180.0,260.0;180.2,260.0;0.2;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-18;INT-18 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;150.0,230.0;149.584,230.172;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-19;INT-19 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;150.0,245.0;149.584,245.172;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-20;INT-20 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;150.0,260.0;150.172,260.416;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-21;INT-21 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;165.0,230.0;164.828,229.584;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-22;INT-22 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;165.0,260.0;165.172,260.416;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-23;INT-23 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;180.0,230.0;180.45,230.0;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-24;INT-24 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;180.0,245.0;180.45,245.0;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
INT-25;INT-25 Difusor de ar x Column (Climatizacao);Climatizacao;Active;Resolved;180.0,260.0;180.45,260.0;0.45;Terminal reposicionado para fora do pilar (folga >=0.05m)
