Tipo_MEP;Prumada;Sistema;Laje_Hospedeira;X;Y;Z;Diam_Tubo_m;Sleeve_m
IfcPipeSegment;Bloco-A-07-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;331.86;12.85;0.02;0.12
IfcPipeSegment;Bloco-A-07-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;331.86;15.65;0.02;0.12
IfcPipeSegment;Bloco-A-07-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;331.86;18.45;0.02;0.12
IfcPipeSegment;Bloco-A-04-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;376.86;15.6;0.02;0.12
IfcPipeSegment;Bloco-A-04-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;376.86;18.4;0.02;0.12
IfcPipeSegment;Bloco-A-04-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;376.86;21.2;0.02;0.12
IfcPipeSegment;Bloco-A-01-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;421.86;18.4;0.02;0.12
IfcPipeSegment;Bloco-A-01-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;421.86;21.2;0.02;0.12
IfcPipeSegment;Bloco-A-01-SPDA-DESC;-;Laje-SteelDeck-MF75;47.63;421.86;24.0;0.02;0.12
IfcPipeSegment;Bloco-A-07-L1-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;346.25;12.85;0.15;0.25
IfcPipeSegment;Bloco-A-07-L1-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;346.25;15.65;0.15;0.25
IfcPipeSegment;Bloco-A-07-L1-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;346.25;18.45;0.15;0.25
IfcPipeSegment;Bloco-A-07-L2-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;346.25;15.65;0.15;0.25
IfcPipeSegment;Bloco-A-07-L2-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;346.25;18.45;0.15;0.25
IfcPipeSegment;Bloco-A-07-L3-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;346.25;18.45;0.15;0.25
IfcPipeSegment;Bloco-A-07-L1-RAM-AQ;-;Laje-SteelDeck-MF75;60.0;346.64;12.85;0.04;0.14
IfcPipeSegment;Bloco-A-07-L1-RAM-AQ;-;Laje-SteelDeck-MF75;60.0;346.64;15.65;0.04;0.14
IfcPipeSegment;Bloco-A-07-L1-RAM-AQ;-;Laje-SteelDeck-MF75;60.0;346.64;18.45;0.04;0.14
IfcPipeSegment;Bloco-A-07-L2-RAM-AQ;-;Laje-SteelDeck-MF75;60.0;346.64;15.65;0.04;0.14
IfcPipeSegment;Bloco-A-07-L2-RAM-AQ;-;Laje-SteelDeck-MF75;60.0;346.64;18.45;0.04;0.14
IfcPipeSegment;Bloco-A-07-L3-RAM-AQ;-;Laje-SteelDeck-MF75;60.0;346.64;18.45;0.04;0.14
IfcPipeSegment;Bloco-A-07-L1-RAM-AF;-;Laje-SteelDeck-MF75;60.0;346.94;12.85;0.05;0.15
IfcPipeSegment;Bloco-A-07-L1-RAM-AF;-;Laje-SteelDeck-MF75;60.0;346.94;15.65;0.05;0.15
IfcPipeSegment;Bloco-A-07-L1-RAM-AF;-;Laje-SteelDeck-MF75;60.0;346.94;18.45;0.05;0.15
IfcPipeSegment;Bloco-A-07-L2-RAM-AF;-;Laje-SteelDeck-MF75;60.0;346.94;15.65;0.05;0.15
IfcPipeSegment;Bloco-A-07-L2-RAM-AF;-;Laje-SteelDeck-MF75;60.0;346.94;18.45;0.05;0.15
IfcPipeSegment;Bloco-A-07-L3-RAM-AF;-;Laje-SteelDeck-MF75;60.0;346.94;18.45;0.05;0.15
IfcPipeSegment;Bloco-A-04-L1-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;391.25;15.6;0.15;0.25
IfcPipeSegment;Bloco-A-04-L1-ESG-RAM;-;Laje-SteelDeck-MF75;60.0;391.25;18.4;0.15;0.25
