Servico;Unidade;Quantidade;Preco_Ref_BRL_unit;Subtotal_BRL
Pilares - concreto/aco;m3;207.3;2600;538962.58
Vigas - concreto/aco;m3;818.9;2600;2129071.36
Lajes (Steel Deck/concreto);m2;26436.6;310;8195353.69
Paredes (alvenaria/drywall);m2;25974.3;190;4935111.19
Esquadrias/Janelas;m2;3027.6;950;2876220.0
Portas;un;223;1300;289900
Telhado (telha+estrutura);m2;15694.0;240;3766560.0
Revestimentos/Coberturas;m2;21703.5;160;3472565.66
Pavimentacao externa;m2;30610.4;120;3673247.12
Tubulacao;m;4200.1;85;357008.5
Dutos AVAC;m;1120.3;230;257669.0
Eletrocalhas;m;1142.3;130;148499.0
TOTAL INDICATIVO (REFERENCIA);;;;30640168.1
